Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1757,regdgcnn,transolver_pp,transolver,pointnet,geofno
2,MAPE (%),0.1515,transolver_pp,transolver,regdgcnn,pointnet,geofno
3,MAE,0.143,transolver,transolver_pp,regdgcnn,pointnet,geofno
4,R²,0.1408,transolver,transolver_pp,regdgcnn,pointnet,geofno
5,Rel-L2,0.1408,transolver,transolver_pp,regdgcnn,pointnet,geofno
6,RMSE,0.1408,transolver,transolver_pp,regdgcnn,pointnet,geofno
7,MAC,0.1075,transolver,transolver_pp,regdgcnn,pointnet,geofno
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,transolver,pointnet,transolver_pp,geofno,regdgcnn
10,Inference Time (s),0.0,pointnet,transolver_pp,transolver,regdgcnn,geofno
