Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1768,transolver,transolver_pp,regdgcnn,pointnet,geofno
2,MAPE (%),0.1468,transolver,transolver_pp,regdgcnn,geofno,pointnet
3,MAE,0.1457,transolver,transolver_pp,regdgcnn,geofno,pointnet
4,R²,0.1417,transolver_pp,transolver,regdgcnn,geofno,pointnet
5,Rel-L2,0.1417,transolver_pp,transolver,regdgcnn,geofno,pointnet
6,RMSE,0.1417,transolver_pp,transolver,regdgcnn,geofno,pointnet
7,MAC,0.1055,transolver,transolver_pp,regdgcnn,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,transolver,pointnet,geofno,transolver_pp,regdgcnn
10,Inference Time (s),0.0,pointnet,transolver,transolver_pp,regdgcnn,geofno
